PDBchain   len  method   resol   rfac  freerfac
4THIA      362  XRAY       2.0  0.211  0.258
2ZVBA      295  XRAY       2.0  0.211  0.235
5MF2A      217  XRAY       2.0  0.211  0.236
2QQDC      166  XRAY       2.0  0.212  0.257
5M06A      276  XRAY       2.0  0.213  0.239
3KW2A      257  XRAY       2.0  0.213  0.266
5X1NA      474  XRAY       2.0  0.214  0.239
2OYRA      258  XRAY       2.0  0.214   0.23
3F5BA      182  XRAY       2.0  0.214  0.244
3O7JA      189  XRAY       2.0  0.215  0.243
1F9AA      168  XRAY       2.0  0.215  0.264
5FSXA      266  XRAY       2.0  0.216  0.253
7XPTA      377  XRAY       2.0  0.217  0.259
1EQ2A      310  XRAY       2.0  0.217  0.262
1KSKA      234  XRAY       2.0  0.217  0.262
2ZUEA      629  XRAY       2.0  0.219  0.253
1IN5A      334  XRAY       2.0  0.219   0.25
3H3QA      255  XRAY       2.0  0.219  0.282
1SUMB      235  XRAY       2.0   0.22  0.255
2F7FA      494  XRAY       2.0  0.221  0.214
1FNNA      389  XRAY       2.0  0.221  0.257
1F2DA      341  XRAY       2.0  0.221  0.268
3IJDA      315  XRAY       2.0  0.221  0.265
2FHJA      296  XRAY       2.0  0.221  0.256
1AFA1      154  XRAY       2.0  0.221  0.268
2E0NA      259  XRAY       2.0  0.225  0.266
1T7LA      766  XRAY       2.0  0.226   0.24
3CRVA      551  XRAY       2.0  0.227   0.26
2X3LA      446  XRAY       2.0  0.231  0.277
1E8UA      454  XRAY       2.0  0.232  0.267
3RSJA      413  XRAY       2.0  0.232  0.263
8DMUA      489  XRAY       2.0  0.234  0.273
2Q0OC      107  XRAY       2.0  0.235  0.276
6UJFA      320  XRAY       2.0  0.237  0.282
7ZVRA      253  XRAY       2.0  0.237  0.284
5VJSA      196  XRAY       2.0  0.237  0.278
6XOIA      346  XRAY       2.0  0.244  0.287
